Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Saturday,1/8/2022,19:00,01.08.2022 19.00.00,765,1,0,0,No Rain
Saturday,1/8/2022,20:00,01.08.2022 20.00.00,619,1,0,0,No Rain
Saturday,1/8/2022,21:00,01.08.2022 21.00.00,411,1,0,0,No Rain
Saturday,1/8/2022,22:00,01.08.2022 22.00.00,35,1,0,0,No Rain
Saturday,1/8/2022,23:00,01.08.2022 23.00.00,0,1,0,0,No Rain
Sunday,1/9/2022,4:00,01.09.2022 04.00.00,0,1,0,0,No Rain
Sunday,1/9/2022,5:00,01.09.2022 05.00.00,353,1,0,0,No Rain
Sunday,1/9/2022,6:00,01.09.2022 06.00.00,466,1,0,0,No Rain
Sunday,1/9/2022,7:00,01.09.2022 07.00.00,527,1,0,0,No Rain
Sunday,1/9/2022,8:00,01.09.2022 08.00.00,719,1,0,0,No Rain
Sunday,1/9/2022,9:00,01.09.2022 09.00.00,821,1,0,0,No Rain
Sunday,1/9/2022,10:00,01.09.2022 10.00.00,628,1,0,0,No Rain
Sunday,1/9/2022,11:00,01.09.2022 11.00.00,624,1,0,0,No Rain
Sunday,1/9/2022,12:00,01.09.2022 12.00.00,625,1,0,0,No Rain
Sunday,1/9/2022,13:00,01.09.2022 13.00.00,673,1,0,0,No Rain
Sunday,1/9/2022,14:00,01.09.2022 14.00.00,656,1,0,0,No Rain
Sunday,1/9/2022,15:00,01.09.2022 15.00.00,805,1,0,0,No Rain
Sunday,1/9/2022,16:00,01.09.2022 16.00.00,817,1,0,0,No Rain
Sunday,1/9/2022,17:00,01.09.2022 17.00.00,875,1,0,0,No Rain
Sunday,1/9/2022,18:00,01.09.2022 18.00.00,776,1,0,0,No Rain
Sunday,1/9/2022,19:00,01.09.2022 19.00.00,740,1,0,0,No Rain
Sunday,1/9/2022,20:00,01.09.2022 20.00.00,572,1,0,0,No Rain
Sunday,1/9/2022,21:00,01.09.2022 21.00.00,333,1,0,0,No Rain
Sunday,1/9/2022,22:00,01.09.2022 22.00.00,19,1,0,0,No Rain
Sunday,1/9/2022,23:00,01.09.2022 23.00.00,0,1,0,0,No Rain
Monday,1/10/2022,4:00,01.10.2022 04.00.00,0,0,0,0,No Rain
Monday,1/10/2022,5:00,01.10.2022 05.00.00,1097,0,0,0,No Rain
Monday,1/10/2022,6:00,01.10.2022 06.00.00,1483,0,0,0,No Rain
Monday,1/10/2022,7:00,01.10.2022 07.00.00,1520,0,0,0,No Rain
Monday,1/10/2022,8:00,01.10.2022 08.00.00,1413,0,0,0,No Rain
Monday,1/10/2022,9:00,01.10.2022 09.00.00,1391,0,0,0,No Rain
Monday,1/10/2022,10:00,01.10.2022 10.00.00,1102,0,0,0,No Rain
Monday,1/10/2022,11:00,01.10.2022 11.00.00,1044,0,0,0,No Rain
Monday,1/10/2022,12:00,01.10.2022 12.00.00,1055,0,0,0,No Rain
Monday,1/10/2022,13:00,01.10.2022 13.00.00,1036,0,0,0,No Rain
Monday,1/10/2022,14:00,01.10.2022 14.00.00,926,0,0,0,No Rain
Monday,1/10/2022,15:00,01.10.2022 15.00.00,1105,0,0,0,No Rain
Monday,1/10/2022,16:00,01.10.2022 16.00.00,1251,0,0,0,No Rain
Monday,1/10/2022,17:00,01.10.2022 17.00.00,1231,0,0,0,No Rain
Monday,1/10/2022,18:00,01.10.2022 18.00.00,1030,0,0,0,No Rain
Monday,1/10/2022,19:00,01.10.2022 19.00.00,939,0,0,0,No Rain
Monday,1/10/2022,20:00,01.10.2022 20.00.00,688,0,0,0,No Rain
Monday,1/10/2022,21:00,01.10.2022 21.00.00,440,0,0,0,No Rain
Monday,1/10/2022,22:00,01.10.2022 22.00.00,34,0,0,0,No Rain
Monday,1/10/2022,23:00,01.10.2022 23.00.00,0,0,0,0,No Rain
Tuesday,1/11/2022,4:00,01.11.2022 04.00.00,0,0,0,0,No Rain
Tuesday,1/11/2022,5:00,01.11.2022 05.00.00,853,0,0,0,No Rain
Tuesday,1/11/2022,6:00,01.11.2022 06.00.00,1262,0,0,0,No Rain
Tuesday,1/11/2022,7:00,01.11.2022 07.00.00,1460,0,0,0,No Rain
Tuesday,1/11/2022,8:00,01.11.2022 08.00.00,1315,0,0,0,No Rain
Tuesday,1/11/2022,9:00,01.11.2022 09.00.00,1197,0,0,0,No Rain
Tuesday,1/11/2022,10:00,01.11.2022 10.00.00,985,0,0,0,No Rain
Tuesday,1/11/2022,11:00,01.11.2022 11.00.00,942,0,0,0,No Rain
Tuesday,1/11/2022,12:00,01.11.2022 12.00.00,937,0,0,0,No Rain
Tuesday,1/11/2022,13:00,01.11.2022 13.00.00,938,0,0,0,No Rain
Tuesday,1/11/2022,14:00,01.11.2022 14.00.00,832,0,0,0,No Rain
Tuesday,1/11/2022,15:00,01.11.2022 15.00.00,978,0,0,0,No Rain
Tuesday,1/11/2022,16:00,01.11.2022 16.00.00,1162,0,0,0,No Rain
Tuesday,1/11/2022,17:00,01.11.2022 17.00.00,1257,0,0,0,No Rain
Tuesday,1/11/2022,18:00,01.11.2022 18.00.00,1038,0,0,0,No Rain
Tuesday,1/11/2022,19:00,01.11.2022 19.00.00,922,0,0,0,No Rain
Tuesday,1/11/2022,20:00,01.11.2022 20.00.00,671,0,0,0,No Rain
Tuesday,1/11/2022,21:00,01.11.2022 21.00.00,457,0,0,0,No Rain
Tuesday,1/11/2022,22:00,01.11.2022 22.00.00,24,0,0,0,No Rain
Tuesday,1/11/2022,23:00,01.11.2022 23.00.00,0,0,0,0,No Rain
Wednesday,1/12/2022,4:00,01.12.2022 04.00.00,0,0,1,-1,Trace Rain
Wednesday,1/12/2022,5:00,01.12.2022 05.00.00,763,0,1,-1,Trace Rain
Wednesday,1/12/2022,6:00,01.12.2022 06.00.00,1333,0,1,-1,Trace Rain
Wednesday,1/12/2022,7:00,01.12.2022 07.00.00,1429,0,1,-1,Trace Rain
Wednesday,1/12/2022,8:00,01.12.2022 08.00.00,1309,0,1,-1,Trace Rain
Wednesday,1/12/2022,9:00,01.12.2022 09.00.00,1259,0,1,-1,Trace Rain
Wednesday,1/12/2022,10:00,01.12.2022 10.00.00,1004,0,1,-1,Trace Rain
Wednesday,1/12/2022,11:00,01.12.2022 11.00.00,913,0,1,-1,Trace Rain
Wednesday,1/12/2022,12:00,01.12.2022 12.00.00,903,0,1,-1,Trace Rain
Wednesday,1/12/2022,13:00,01.12.2022 13.00.00,879,0,1,-1,Trace Rain
Wednesday,1/12/2022,14:00,01.12.2022 14.00.00,872,0,1,-1,Trace Rain
Wednesday,1/12/2022,15:00,01.12.2022 15.00.00,1059,0,1,-1,Trace Rain
Wednesday,1/12/2022,16:00,01.12.2022 16.00.00,1207,0,1,-1,Trace Rain
Wednesday,1/12/2022,17:00,01.12.2022 17.00.00,1251,0,1,-1,Trace Rain
Wednesday,1/12/2022,18:00,01.12.2022 18.00.00,1103,0,1,-1,Trace Rain
