Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Sunday,1/15/2023,14:00,15.01.2023 14.00.00,2554,1,3,10.5,Moderate Rain
Sunday,1/15/2023,15:00,15.01.2023 15.00.00,2665,1,3,10.5,Moderate Rain
Sunday,1/15/2023,16:00,15.01.2023 16.00.00,3016,1,3,10.5,Moderate Rain
Sunday,1/15/2023,17:00,15.01.2023 17.00.00,2854,1,3,10.5,Moderate Rain
Sunday,1/15/2023,18:00,15.01.2023 18.00.00,2629,1,3,10.5,Moderate Rain
Sunday,1/15/2023,19:00,15.01.2023 19.00.00,2569,1,3,10.5,Moderate Rain
Sunday,1/15/2023,20:00,15.01.2023 20.00.00,2231,1,3,10.5,Moderate Rain
Sunday,1/15/2023,21:00,15.01.2023 21.00.00,1732,1,3,10.5,Moderate Rain
Sunday,1/15/2023,22:00,15.01.2023 22.00.00,48,1,3,10.5,Moderate Rain
Sunday,1/15/2023,23:00,15.01.2023 23.00.00,0,1,3,10.5,Moderate Rain
Monday,1/16/2023,4:00,16.01.2023 04.00.00,0,0,0,0,No Rain
Monday,1/16/2023,5:00,16.01.2023 05.00.00,2752,0,0,0,No Rain
Monday,1/16/2023,6:00,16.01.2023 06.00.00,3513,0,0,0,No Rain
Monday,1/16/2023,7:00,16.01.2023 07.00.00,4967,0,0,0,No Rain
Monday,1/16/2023,8:00,16.01.2023 08.00.00,4341,0,0,0,No Rain
Monday,1/16/2023,9:00,16.01.2023 09.00.00,3566,0,0,0,No Rain
Monday,1/16/2023,10:00,16.01.2023 10.00.00,3054,0,0,0,No Rain
Monday,1/16/2023,11:00,16.01.2023 11.00.00,2828,0,0,0,No Rain
Monday,1/16/2023,12:00,16.01.2023 12.00.00,2767,0,0,0,No Rain
Monday,1/16/2023,13:00,16.01.2023 13.00.00,2528,0,0,0,No Rain
Monday,1/16/2023,14:00,16.01.2023 14.00.00,2571,0,0,0,No Rain
